,id_season,id_comp,country,name,short_name,color_primary,color_secondary
12,25680,17,ENG,Sheffield Wednesday,0,#0066cc,#ffffff
23,51,17,ENG,Barnsley,0,#ff3333,#ffffff
65,25680,17,ENG,Oldham Athletic,0,#2869b2,#f2f2f1
53,25680,17,ENG,Swindon Town,0,#cc0000,#ffffff
2818,25687,8,ESP,Rayo Vallecano,0,#ffffff,#ffffff
2820,25687,8,ESP,Osasuna,0,#cc0000,#14213d
2826,75,8,ESP,Mallorca,0,#cc0000,#000000
2885,74,8,ESP,Deportivo Alavés,0,#0232a0,#ffffff
2845,11906,8,ESP,Leganés,0,#ffffff,#3300ff
6577,72,8,ESP,Las Palmas,0,#e8f541,#f3f845
2831,25687,8,ESP,Real Valladolid,0,#ffffff,#663399
4488,101,8,ESP,Cádiz,0,#ffff00,#001d43
2858,669,8,ESP,Almería,0,#ff0000,#ffffff
2846,6559,8,ESP,Elche,0,#ffffff,#336600
24265,18020,8,ESP,Huesca,0,#13324f,#ff0000
2839,8578,8,ESP,Eibar,0,#003e85,#cd152f
2852,25687,8,ESP,Sporting Gijón,0,#ffffff,#cc0000
2850,8578,8,ESP,Córdoba,0,#339900,#ffffff
2815,25687,8,ESP,Real Zaragoza,0,#ffffff,#0000ff
2835,25687,8,ESP,Racing de Santander,0,#ffffff,#009933
2877,25689,8,ESP,Hércules CF,0,#ffffff,#000066
2822,25687,8,ESP,CD Tenerife,0,#ffffff,#3300ff
2838,2252,8,ESP,Xerez CD,0,#0000ff,#ffffff
2855,73,8,ESP,Numancia,0,#ff0000,#3300ff
202076,70,8,ESP,Recreativo de Huelva,0,#0033ff,#ffffff
4487,99,8,ESP,Real Murcia,0,#ff0000,#ff0000
2840,102,8,ESP,Gimnàstic de Tarragona,0,#ff0000,#000000
2848,25687,8,ESP,Albacete Balompié,0,#ffffff,#ffffff
2851,25687,8,ESP,Real Oviedo,0,#3300ff,#ffffff
2837,25689,8,ESP,Extremadura,0,#374df5,#374df5
2847,25690,8,ESP,Unión Deportiva Salamanca,0,#374df5,#374df5
2856,25688,8,ESP,SD Compostela,0,#00ade7,#ffffff
24351,25690,8,ESP,Mérida AD,0,#ffffff,#000000
250782,25687,8,ESP,CD Logroñés,0,#374df5,#374df5
331732,25687,8,ESP,UE Lleida,0,#374df5,#374df5
2526,103,35,DEU,FC St. Pauli,0,#300202,#fd0000
5885,61648,17015,DEU,1. FC Heidenheim,0,#243475,#400040
2573,63516,35,DEU,Holstein Kiel,0,#000099,#000099
2542,107,35,DEU,VfL Bochum 1848,0,#6666ff,#ffffff
2576,10419,35,DEU,Darmstadt 98,0,#4577fc,#0612a8
2540,107,35,DEU,Arminia Bielefeld,0,#092288,#000000
2551,4792,35,DEU,SpVgg Greuther Fürth,0,#ffffff,#009900
