,id,name,short_name,primary_color,secondary_color,country_alpha
1389,7922,Warta Poznań,Warta Poznań,#00552b,#ffffff,POL
1390,36886,Kotwica Kołobrzeg,Kotwica Kołobrzeg,#ffffff,#0c6ac2,POL
1391,35330,Miedź Legnica,Miedź,#3565ad,#d8b46a,POL
1392,3125,Górnik Łęczna,Górnik Łęczna,#009933,#000000,POL
1393,5064,MZKS Arka Gdynia,Arka Gdynia,#ffff00,#000099,POL
1394,3111,Wisła Kraków,Wisła Kraków,#cc0000,#ffffff,POL
1396,105963,MKS Chojniczanka Chojnice,Chojniczanka,#f20000,#ffcc00,POL
1397,387754,ŁKS Łódź II,ŁKS Łódź II,#374df5,#374df5,POL
1398,269193,Zagłębie Lubin II,Zagłębie Lubin II,#ff3300,#000000,POL
1399,212848,Rekord Bielsko-Biała,Rekord,#2e8b57,#ffffff,POL
1400,37204,Resovia Rzeszów,,#e3061b,#ffffff,POL
1401,37179,Olimpia Grudziądz,Olimpia Grudziądz,#005a23,#dcbf81,POL
1402,7693,Zagłębie Sosnowiec,Zagłębie S.,#ffffff,#161616,POL
1403,334956,Wieczysta Kraków,Wieczysta,#374df5,#374df5,POL
1404,25196,FC Bavois,Bavois,#ff0000,#ffffff,CHE
1405,2476,SC Cham,Cham,#ff0000,#ffffff,CHE
1406,25220,SC Brühl SG,Brühl,#00aa00,#ffffff,CHE
1407,2451,Neuchâtel Xamax,Xamax,#000000,#990000,CHE
1408,2468,SC YF Juventus,YF Juventus,#ffffff,#1e1e1e,CHE
1410,24782,FC Silon Táborsko,Silon Táborsko,#0000ff,#ff0000,CZE
1412,324982,SK Slavia Praha B,,#ffffff,#e10000,CZE
1413,228544,Slovan Velvary,Slovan Velvary,#234ca3,#ffffff,CZE
1415,53101,Povltavska FA,Povltavska ,#ff0000,#ffffff,CZE
1416,24775,TJ Jiskra Domažlice,Jiskra,#0000ff,#ffffff,CZE
1417,53133,Loko Vltavín,Loko Vltavín,#addfff,#ffffff,CZE
1418,37114,FK Admira Praha,Ad. Praha,#000000,#ffffff,CZE
1419,321886,Viktoria Plzeň B,Viktoria Plzeň B,#ff0000,#0066ff,CZE
1420,2233,FC Chomutov,FC Chomutov,#374df5,#374df5,CZE
1421,246010,Sokol Hostouň,Sokol Hostouň,#0c7128,#ffffff,CZE
1422,25417,FC Písek,FC Písek,#ffe400,#0056b6,CZE
1423,229341,MAS Táborsko II,MAS Táborsko II,#374df5,#374df5,CZE
1424,106317,Petrin Plzen,,#374df5,#374df5,CZE
1425,36572,SC Weiche Flensburg 08,Weiche Flensburg,#ba1a2b,#82bcd2,DEU
1427,2531,Hamburger SV II U23,HSV II U23,#ffffff,#ffffff,DEU
1428,5800,FC St Pauli II U23,St. Pauli II U23,#300202,#fd0000,DEU
1429,43901,SV Todesfelde,Todesfelde,#ffe500,#0033ff,DEU
1430,2577,SV Werder Bremen II U23,Werder II U23,#009966,#ffffff,DEU
1431,75853,SSV Jeddeloh,Jeddeloh,#ffffff,#0000ff,DEU
1432,421508,Tura Harksheide,,#374df5,#374df5,DEU
1433,323505,Union Tornesch,,#ffffff,#2c5dac,DEU
1434,2560,VfB Lübeck,Lübeck,#ffffff,#006600,DEU
1435,7918,Piast Gliwice,Piast,#3366ff,#ff0000,POL
1436,3112,GKS Katowice,,#ffe710,#000000,POL
1437,38729,Puszcza Niepołomice,Puszcza,#ffffff,#b13e30,POL
1438,7295,Radomiak Radom,Radomiak,#fefefe,#06852c,POL
