match_id,team_id,half,stat_name,value
13472704,1955,0,throw_ins,18
13472704,1981,0,throw_ins,11
13472704,1955,0,final_third_entries,50
13472704,1981,0,final_third_entries,46
13472704,1955,0,final_third_phase,94/119 (79%)
13472704,1981,0,final_third_phase,54/78 (69%)
13472704,1955,0,long_balls,15/38 (39%)
13472704,1981,0,long_balls,9/23 (39%)
13472704,1955,0,crosses,5/20 (25%)
13472704,1981,0,crosses,6/13 (46%)
13472704,1955,0,duels,50%
13472704,1981,0,duels,50%
13472704,1955,0,dispossessed,8
13472704,1981,0,dispossessed,13
13472704,1955,0,ground_duels,34/66 (52%)
13472704,1981,0,ground_duels,32/66 (48%)
13472704,1955,0,aerial_duels,9/20 (45%)
13472704,1981,0,aerial_duels,11/20 (55%)
13472704,1955,0,dribbles,8/16 (50%)
13472704,1981,0,dribbles,3/7 (43%)
13472704,1955,0,tackles_won,76%
13472704,1981,0,tackles_won,44%
13472704,1955,0,total_tackles,17
13472704,1981,0,total_tackles,16
13472704,1955,0,interceptions,8
13472704,1981,0,interceptions,6
13472704,1955,0,recoveries,43
13472704,1981,0,recoveries,44
13472704,1955,0,clearances,15
13472704,1981,0,clearances,28
13472704,1955,0,errors_lead_to_a_shot,0
13472704,1981,0,errors_lead_to_a_shot,1
13472704,1955,0,total_saves,3
13472704,1981,0,total_saves,5
13472704,1955,0,goals_prevented,0.41
13472704,1981,0,goals_prevented,0.88
13472704,1955,0,big_saves,1
13472704,1981,0,big_saves,2
13472704,1955,0,high_claims,2
13472704,1981,0,high_claims,0
13472704,1955,0,goal_kicks,5
13472704,1981,0,goal_kicks,5
13472704,1955,1,ball_possession,70%
13472704,1981,1,ball_possession,30%
13472704,1955,1,expected_goals,0.92
13472704,1981,1,expected_goals,0.25
13472704,1955,1,big_chances,1
13472704,1981,1,big_chances,0
13472704,1955,1,total_shots,10
13472704,1981,1,total_shots,3
13472704,1955,1,goalkeeper_saves,1
13472704,1981,1,goalkeeper_saves,5
13472704,1955,1,corner_kicks,5
13472704,1981,1,corner_kicks,1
13472704,1955,1,passes,296
13472704,1981,1,passes,129
13472704,1955,1,tackles,7
13472704,1981,1,tackles,7
13472704,1955,1,free_kicks,5
13472704,1981,1,free_kicks,2
13472704,1955,1,yellow_cards,0
13472704,1981,1,yellow_cards,0
